Designator,Mid X,Mid Y,Rotation,Layer
D1,75.82,-49.53,0.0,top
D2,69.483,-34.29,0.0,top
D3,69.483,-31.75,0.0,top
D4,69.483,-29.21,0.0,top
D5,69.483,-26.67,0.0,top
D6,69.483,-24.13,0.0,top
D7,69.483,-21.59,0.0,top
D8,26.468,-50.525,90.0,top
J1,59.629293,-68.602707,180.0,top
J17,22.24,-68.588,180.0,top
J2,87.436,-4.09,0.0,top
J23,77.11,-34.29,180.0,top
J3,71.882,-45.6946,90.0,top
J4,71.882,-41.91,90.0,top
J5,94.208,-53.908,270.0,top
J6,6.884,-7.56,90.0,top
OC1,28.067,-32.506,270.0,top
R1,76.472,-52.07,0.0,top
R10,73.286,-34.29,180.0,top
R11,73.286,-31.75,180.0,top
R12,73.286,-29.21,180.0,top
R13,73.286,-26.67,180.0,top
R14,73.286,-24.13,180.0,top
R15,73.286,-21.59,180.0,top
R16,28.5,-50.5,90.0,top
R2,32.512,-41.132,90.0,top
R3,29.972,-41.132,90.0,top
R4,27.432,-41.132,90.0,top
R5,24.892,-41.132,90.0,top
R6,32.512,-24.765,270.0,top
R7,29.972,-24.765,270.0,top
R8,27.432,-24.765,270.0,top
R9,24.892,-24.765,270.0,top
U1,51.5,-49.4792,180.0,top
U2,51.5,-49.4792,180.0,top
